ELECTION_DATE,ELECTION_NAME,COUNTY_ID,COUNTY_NAME,BALLOT_MEASURE_ID,BALLOT_MEASURE_NAME,BALLOT_MEASURE_TITLE,YES_COUNT,NO_COUNT
11/08/2016,2016 Presidential General,11,Glenn,52,Proposition 52,Medi-Cal Hospital Fee Program,"5,219","3,993"
11/08/2016,2016 Presidential General,11,Glenn,53,Proposition 53,Voter Approval of Revenue Bonds,"5,022","4,112"
11/08/2016,2016 Presidential General,11,Glenn,54,Proposition 54,Legislative Procedure Requirements,"5,828","3,268"
11/08/2016,2016 Presidential General,11,Glenn,55,Proposition 55,Tax Extension for Education and Healthcare,"4,726","4,494"
11/08/2016,2016 Presidential General,11,Glenn,56,Proposition 56,Cigarette Tax,"4,183","5,197"
11/08/2016,2016 Presidential General,11,Glenn,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,"4,313","4,886"
11/08/2016,2016 Presidential General,11,Glenn,58,Proposition 58,English Proficiency. Multilingual Education.,"5,935","3,320"
11/08/2016,2016 Presidential General,11,Glenn,59,Proposition 59,Corporate Political Spending Advisory Question,"3,512","5,395"
11/08/2016,2016 Presidential General,11,Glenn,60,Proposition 60,Adult Film Condom Requirements,"3,422","5,621"
11/08/2016,2016 Presidential General,11,Glenn,61,Proposition 61,State Prescription Drug Purchase Standards,"2,624","6,579"
11/08/2016,2016 Presidential General,11,Glenn,62,Proposition 62,Repeal of Death Penalty,"2,569","6,737"
11/08/2016,2016 Presidential General,11,Glenn,63,Proposition 63,Firearms and Ammunition Sales,"2,762","6,644"
11/08/2016,2016 Presidential General,11,Glenn,64,Proposition 64,Marijuana Legalization,"4,412","5,046"
11/08/2016,2016 Presidential General,11,Glenn,65,Proposition 65,Carryout Bag Charges,"3,193","6,105"
11/08/2016,2016 Presidential General,11,Glenn,66,Proposition 66,Death Penalty Procedure Time Limits,"4,919","4,022"
11/08/2016,2016 Presidential General,11,Glenn,67,Proposition 67,Ban on Single-use Plastic Bags,"3,236","5,839"
11/08/2016,2016 Presidential General,12,Humboldt,51,Proposition 51,K-12 and Community College Facilities,"29,171","28,521"
11/08/2016,2016 Presidential General,12,Humboldt,52,Proposition 52,Medi-Cal Hospital Fee Program,"39,269","17,647"
11/08/2016,2016 Presidential General,12,Humboldt,53,Proposition 53,Voter Approval of Revenue Bonds,"26,106","29,677"
11/08/2016,2016 Presidential General,12,Humboldt,54,Proposition 54,Legislative Procedure Requirements,"35,074","21,220"
11/08/2016,2016 Presidential General,12,Humboldt,55,Proposition 55,Tax Extension for Education and Healthcare,"39,664","18,003"
11/08/2016,2016 Presidential General,12,Humboldt,56,Proposition 56,Cigarette Tax,"34,940","23,717"
11/08/2016,2016 Presidential General,12,Humboldt,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,"38,737","18,429"
11/08/2016,2016 Presidential General,12,Humboldt,58,Proposition 58,English Proficiency. Multilingual Education.,"44,358","12,644"
11/08/2016,2016 Presidential General,12,Humboldt,59,Proposition 59,Corporate Political Spending Advisory Question,"33,513","21,222"
11/08/2016,2016 Presidential General,12,Humboldt,60,Proposition 60,Adult Film Condom Requirements,"21,309","34,209"
11/08/2016,2016 Presidential General,12,Humboldt,61,Proposition 61,State Prescription Drug Purchase Standards,"30,429","24,609"
11/08/2016,2016 Presidential General,12,Humboldt,62,Proposition 62,Repeal of Death Penalty,"29,409","27,792"
11/08/2016,2016 Presidential General,12,Humboldt,63,Proposition 63,Firearms and Ammunition Sales,"30,397","27,879"
11/08/2016,2016 Presidential General,12,Humboldt,64,Proposition 64,Marijuana Legalization,"34,692","24,666"
11/08/2016,2016 Presidential General,12,Humboldt,65,Proposition 65,Carryout Bag Charges,"23,783","33,733"
11/08/2016,2016 Presidential General,12,Humboldt,66,Proposition 66,Death Penalty Procedure Time Limits,"22,416","31,740"
11/08/2016,2016 Presidential General,12,Humboldt,67,Proposition 67,Ban on Single-use Plastic Bags,"35,339","22,919"
11/08/2016,2016 Presidential General,13,Imperial,51,Proposition 51,K-12 and Community College Facilities,"30,768","15,613"
11/08/2016,2016 Presidential General,13,Imperial,52,Proposition 52,Medi-Cal Hospital Fee Program,"31,500","14,738"
11/08/2016,2016 Presidential General,13,Imperial,53,Proposition 53,Voter Approval of Revenue Bonds,"28,051","17,440"
11/08/2016,2016 Presidential General,13,Imperial,54,Proposition 54,Legislative Procedure Requirements,"30,126","15,607"
11/08/2016,2016 Presidential General,13,Imperial,55,Proposition 55,Tax Extension for Education and Healthcare,"32,123","14,291"
11/08/2016,2016 Presidential General,13,Imperial,56,Proposition 56,Cigarette Tax,"33,431","13,313"
11/08/2016,2016 Presidential General,13,Imperial,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,"29,912","16,823"
11/08/2016,2016 Presidential General,13,Imperial,58,Proposition 58,English Proficiency. Multilingual Education.,"37,195","9,616"
11/08/2016,2016 Presidential General,13,Imperial,59,Proposition 59,Corporate Political Spending Advisory Question,"22,130","23,262"
11/08/2016,2016 Presidential General,13,Imperial,60,Proposition 60,Adult Film Condom Requirements,"27,681","17,851"
11/08/2016,2016 Presidential General,13,Imperial,61,Proposition 61,State Prescription Drug Purchase Standards,"23,684","22,339"
11/08/2016,2016 Presidential General,13,Imperial,62,Proposition 62,Repeal of Death Penalty,"20,964","25,278"
11/08/2016,2016 Presidential General,13,Imperial,63,Proposition 63,Firearms and Ammunition Sales,"29,619","16,446"
11/08/2016,2016 Presidential General,13,Imperial,64,Proposition 64,Marijuana Legalization,"20,908","25,236"
11/08/2016,2016 Presidential General,13,Imperial,65,Proposition 65,Carryout Bag Charges,"25,290","20,068"
11/08/2016,2016 Presidential General,13,Imperial,66,Proposition 66,Death Penalty Procedure Time Limits,"24,195","20,444"
11/08/2016,2016 Presidential General,13,Imperial,67,Proposition 67,Ban on Single-use Plastic Bags,"23,106","22,556"
11/08/2016,2016 Presidential General,14,Inyo,51,Proposition 51,K-12 and Community College Facilities,"3,352","4,430"
11/08/2016,2016 Presidential General,14,Inyo,52,Proposition 52,Medi-Cal Hospital Fee Program,"4,608","3,151"
11/08/2016,2016 Presidential General,14,Inyo,53,Proposition 53,Voter Approval of Revenue Bonds,"3,829","3,785"
11/08/2016,2016 Presidential General,14,Inyo,54,Proposition 54,Legislative Procedure Requirements,"4,615","3,010"
11/08/2016,2016 Presidential General,14,Inyo,55,Proposition 55,Tax Extension for Education and Healthcare,"4,245","3,560"
11/08/2016,2016 Presidential General,14,Inyo,56,Proposition 56,Cigarette Tax,"4,139","3,930"
11/08/2016,2016 Presidential General,14,Inyo,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,"4,346","3,505"
11/08/2016,2016 Presidential General,14,Inyo,58,Proposition 58,English Proficiency. Multilingual Education.,"5,184","2,670"
11/08/2016,2016 Presidential General,14,Inyo,59,Proposition 59,Corporate Political Spending Advisory Question,"3,436","3,964"
11/08/2016,2016 Presidential General,14,Inyo,60,Proposition 60,Adult Film Condom Requirements,"3,211","4,307"
11/08/2016,2016 Presidential General,14,Inyo,61,Proposition 61,State Prescription Drug Purchase Standards,"2,935","4,743"
11/08/2016,2016 Presidential General,14,Inyo,62,Proposition 62,Repeal of Death Penalty,"2,742","5,096"
11/08/2016,2016 Presidential General,14,Inyo,63,Proposition 63,Firearms and Ammunition Sales,"3,061","4,888"
11/08/2016,2016 Presidential General,14,Inyo,64,Proposition 64,Marijuana Legalization,"4,428","3,637"
11/08/2016,2016 Presidential General,14,Inyo,65,Proposition 65,Carryout Bag Charges,"2,956","4,832"
